year,GEOID,NAME,popE,popM,median_hhincE,median_hhincM,povertyE,povertyM,pop_povertyE,pop_povertyM,median_rentE,median_rentM,median_homeE,median_homeM,whiteE,whiteM,blackE,blackM,hispanicE,hispanicM,asianE,asianM,foreign_bornE,foreign_bornM,survey,giniE,giniM,no_hsE,no_hsM,bachelorsE,bachelorsM,pop_25plusE,pop_25plusM,snapE,snapM,snap_totalE,snap_totalM
2005,3600100,"PUMA 00100, New York",100042,0,37542,3161,16887,2732,99934,103,530,22,68000,2977,NA,NA,NA,NA,NA,NA,NA,NA,2573,604,acs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,3600200,"PUMA 00200, New York",159891,681,41176,1931,20483,2388,159332,723,561,28,95300,4050,NA,NA,NA,NA,NA,NA,NA,NA,5828,1127,acs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,3600300,"PUMA 00300, New York",123464,0,45895,2609,11961,2737,122269,558,670,19,121500,6731,NA,NA,NA,NA,NA,NA,NA,NA,2016,558,acs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,3600401,"PUMA 00401, New York",147519,4438,43287,2577,15962,4122,146425,4441,551,43,83400,2826,NA,NA,NA,NA,NA,NA,NA,NA,3166,998,acs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,3600402,"PUMA 00402, New York",134399,4438,33914,2482,24644,3505,134088,4438,544,33,81200,2864,NA,NA,NA,NA,NA,NA,NA,NA,12164,2755,acs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,3600500,"PUMA 00500, New York",134290,681,40010,3072,18368,3167,133278,847,549,26,84300,3199,NA,NA,NA,NA,NA,NA,NA,NA,2754,665,acs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,3600600,"PUMA 00600, New York",118560,0,42731,3958,20927,5352,117824,398,577,40,76900,4510,NA,NA,NA,NA,NA,NA,NA,NA,1648,595,acs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,3600700,"PUMA 00700, New York",132495,5367,25935,1979,41137,4750,131449,5260,588,24,75200,2242,75825,4775,37137,1783,8225,1202,5777,1660,12260,2521,acs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,3600801,"PUMA 00801, New York",97523,2706,49474,3546,8654,2071,97237,2706,625,25,100400,6573,NA,NA,NA,NA,NA,NA,NA,NA,2316,707,acs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,3600802,"PUMA 00802, New York",124577,6012,58999,2701,7460,1950,123013,5647,662,32,120100,5419,NA,NA,NA,NA,NA,NA,NA,NA,7180,1603,acs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
