year,GEOID,NAME,popE,popM,median_hhincE,median_hhincM,povertyE,povertyM,pop_povertyE,pop_povertyM,median_rentE,median_rentM,median_homeE,median_homeM,whiteE,whiteM,blackE,blackM,hispanicE,hispanicM,asianE,asianM,foreign_bornE,foreign_bornM,survey,giniE,giniM,unempE,unempM,laborforceE,laborforceM,no_hsE,no_hsM,bachelorsE,bachelorsM,pop_25plusE,pop_25plusM,snapE,snapM,snap_totalE,snap_totalM,no_health_insE,no_health_insM
2009,3601100,"PUMA 01100, New York",104205,0,55300,1388,8073,844,100799,668,697,22,125700,3128,96361,72,2069,265,3031,0,1083,90,3335,412,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3601200,"PUMA 01200, New York",104982,0,50417,1292,10855,861,93627,746,643,18,102900,2166,95816,57,4127,151,2998,0,706,97,2272,252,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3601300,"PUMA 01300, New York",100588,0,47526,1530,11305,1025,96317,421,653,18,93100,1371,91026,12,3964,246,3015,0,378,62,2557,396,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3601401,"PUMA 01401, New York",164391,2243,29838,1065,46130,2511,160593,2260,636,10,58400,1154,70827,1651,81935,1913,5652,845,2816,658,7626,972,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3601402,"PUMA 01402, New York",108944,2239,31127,1113,29099,1866,102135,1849,640,12,87300,2284,67974,1664,18925,1565,16725,1101,2041,696,9044,1270,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3601501,"PUMA 01501, New York",106656,40,51959,1590,10616,1090,103221,1076,638,23,111400,1996,98257,727,3324,576,1740,268,843,241,3401,348,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3601502,"PUMA 01502, New York",107957,40,40856,1071,15132,1201,106892,330,590,12,82100,1333,91608,746,10353,700,1942,268,1109,271,5145,623,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3601601,"PUMA 01601, New York",106193,38,50814,1355,9294,971,105539,307,686,18,104600,1212,99733,575,1907,379,1916,383,1600,397,4549,548,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3601602,"PUMA 01602, New York",115640,35,64507,1452,9090,965,108572,1017,825,25,157000,1884,98816,1138,5295,805,2486,481,7890,736,12476,934,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3601603,"PUMA 01603, New York",103781,42,66025,1541,6257,787,101365,321,706,29,163400,2031,99510,631,1331,327,868,221,1072,342,3841,446,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
