boro_cd,cd_name,boro_name,arrest_year,arrests_total,arrests_felony,arrests_misdemeanor,cs_possession_low,cs_possession_mid,cs_possession_high,mj_possession_low,mj_possession_high,other_drug_offense,arrests_female,arrests_male,arrests_under18,arrests_18_24,arrests_25_44,arrests_45_64,arrests_65plus,arrests_white,arrests_black,arrests_asian,arrests_hispanic,overdose_total
101,Battery Park / Tribeca,Manhattan,2006,43,13,30,12,0,10,18,3,0,4,39,2,7,18,16,0,6,16,1,20,0
101,Battery Park / Tribeca,Manhattan,2007,61,20,41,22,0,19,19,1,0,9,52,4,18,29,10,0,19,14,1,27,5
101,Battery Park / Tribeca,Manhattan,2008,64,14,50,31,5,5,19,4,0,13,51,1,20,31,12,0,16,22,0,26,0
101,Battery Park / Tribeca,Manhattan,2009,85,30,55,32,3,21,23,6,0,6,79,0,25,39,20,1,23,32,1,29,0
101,Battery Park / Tribeca,Manhattan,2010,85,23,62,28,5,15,34,3,0,9,76,3,20,54,8,0,17,28,2,36,0
101,Battery Park / Tribeca,Manhattan,2011,103,17,86,39,3,11,47,3,0,13,90,8,23,45,26,1,31,36,2,34,0
101,Battery Park / Tribeca,Manhattan,2012,84,14,70,28,5,4,42,5,0,8,76,3,26,36,19,0,26,34,4,20,0
101,Battery Park / Tribeca,Manhattan,2013,105,19,86,36,6,10,50,3,0,16,89,1,23,58,22,1,32,38,4,27,0
101,Battery Park / Tribeca,Manhattan,2014,108,21,87,35,2,19,52,0,0,15,93,2,33,49,21,3,23,44,3,35,5
101,Battery Park / Tribeca,Manhattan,2015,114,16,98,27,3,12,71,1,0,8,106,1,46,55,10,2,17,46,10,39,182
101,Battery Park / Tribeca,Manhattan,2016,268,34,234,49,7,20,185,7,0,41,227,14,88,130,36,0,60,101,14,88,265
101,Battery Park / Tribeca,Manhattan,2017,201,28,173,41,3,23,132,2,0,21,180,8,66,102,25,0,40,71,5,84,237
101,Battery Park / Tribeca,Manhattan,2018,84,27,57,33,11,15,24,1,0,10,74,3,7,50,23,1,18,38,5,22,279
101,Battery Park / Tribeca,Manhattan,2019,67,20,47,0,0,0,3,1,63,6,61,2,8,38,19,0,13,28,2,24,299
101,Battery Park / Tribeca,Manhattan,2020,25,8,17,0,0,0,1,0,24,3,22,0,1,19,5,0,6,13,0,6,386
101,Battery Park / Tribeca,Manhattan,2021,31,12,19,0,0,0,0,1,30,4,27,1,0,26,3,1,5,6,2,18,463
102,Greenwich Village / SoHo,Manhattan,2006,840,20,820,363,6,13,457,1,0,101,739,26,229,440,139,6,350,329,22,131,12
102,Greenwich Village / SoHo,Manhattan,2007,1083,21,1062,374,15,4,688,2,0,147,936,48,323,513,191,7,420,442,18,195,8
102,Greenwich Village / SoHo,Manhattan,2008,929,22,907,400,13,5,507,4,0,127,802,34,263,422,208,2,334,392,20,175,6
102,Greenwich Village / SoHo,Manhattan,2009,954,22,932,321,14,0,611,8,0,141,813,28,324,415,185,2,399,358,29,161,5
102,Greenwich Village / SoHo,Manhattan,2010,1024,23,1001,330,15,7,671,1,0,143,881,32,325,479,182,6,419,370,39,187,0
102,Greenwich Village / SoHo,Manhattan,2011,1175,19,1156,379,8,3,777,8,0,154,1021,25,374,580,195,1,496,435,33,199,13
102,Greenwich Village / SoHo,Manhattan,2012,588,18,570,242,9,0,328,9,0,69,519,8,192,278,104,6,253,190,28,108,6
102,Greenwich Village / SoHo,Manhattan,2013,458,16,442,203,9,4,239,3,0,47,411,7,148,197,99,7,172,185,19,79,9
102,Greenwich Village / SoHo,Manhattan,2014,519,12,507,208,8,2,299,2,0,37,482,12,131,237,136,3,201,194,16,98,0
102,Greenwich Village / SoHo,Manhattan,2015,317,8,309,149,4,2,160,2,0,31,286,8,104,154,50,1,112,100,21,81,5
102,Greenwich Village / SoHo,Manhattan,2016,330,13,317,103,7,1,214,5,0,48,282,9,111,154,56,0,109,126,15,75,6
102,Greenwich Village / SoHo,Manhattan,2017,639,13,626,210,7,4,416,2,0,76,563,22,231,261,122,3,171,265,32,165,0
102,Greenwich Village / SoHo,Manhattan,2018,327,12,315,231,5,7,84,0,0,51,276,3,58,146,113,7,85,170,12,60,0
102,Greenwich Village / SoHo,Manhattan,2019,250,9,241,0,0,0,8,1,241,39,211,0,6,122,117,5,69,139,4,37,0
102,Greenwich Village / SoHo,Manhattan,2020,131,1,130,0,0,0,1,0,130,20,111,0,3,67,61,0,39,71,1,20,0
102,Greenwich Village / SoHo,Manhattan,2021,153,0,153,0,0,0,0,0,153,28,125,0,5,86,62,0,39,85,1,28,9
103,Lower East Side / Chinatown,Manhattan,2006,1063,115,948,442,46,56,506,13,0,129,934,46,269,563,179,5,368,256,42,392,26
103,Lower East Side / Chinatown,Manhattan,2007,1240,136,1104,465,41,81,639,14,0,158,1082,65,391,599,180,5,345,301,59,522,28
103,Lower East Side / Chinatown,Manhattan,2008,1291,156,1135,400,36,102,735,18,0,168,1123,59,385,675,168,4,451,272,59,497,15
103,Lower East Side / Chinatown,Manhattan,2009,1406,117,1289,430,45,50,859,21,1,156,1250,79,423,700,200,4,390,309,47,643,9
103,Lower East Side / Chinatown,Manhattan,2010,1599,101,1498,444,50,32,1054,18,1,205,1394,101,534,740,215,9,512,361,87,624,12
103,Lower East Side / Chinatown,Manhattan,2011,1594,60,1534,486,20,26,1048,14,0,203,1391,83,503,769,227,12,562,391,62,560,17
103,Lower East Side / Chinatown,Manhattan,2012,1386,77,1309,542,33,30,767,14,0,143,1243,84,451,633,214,4,463,320,51,536,29
103,Lower East Side / Chinatown,Manhattan,2013,1040,64,976,559,41,13,417,10,0,148,892,45,347,488,159,1,318,228,54,423,15
103,Lower East Side / Chinatown,Manhattan,2014,905,51,854,397,32,14,457,4,1,105,800,41,299,431,123,11,303,184,49,352,19
103,Lower East Side / Chinatown,Manhattan,2015,997,31,966,479,18,8,487,5,0,145,852,36,347,465,147,2,309,239,40,398,6
103,Lower East Side / Chinatown,Manhattan,2016,1149,32,1117,461,15,10,656,7,0,158,991,35,383,623,104,4,389,272,73,400,0
103,Lower East Side / Chinatown,Manhattan,2017,1034,46,988,352,16,21,636,9,0,161,873,37,380,503,110,4,246,287,51,439,8
103,Lower East Side / Chinatown,Manhattan,2018,474,35,439,274,10,20,165,3,2,100,374,11,103,232,122,6,81,130,16,244,5
103,Lower East Side / Chinatown,Manhattan,2019,213,28,185,0,0,0,15,2,196,48,165,2,26,118,66,1,42,55,4,109,8
103,Lower East Side / Chinatown,Manhattan,2020,97,10,87,0,0,0,1,0,96,27,70,0,6,62,29,0,23,22,3,49,6
103,Lower East Side / Chinatown,Manhattan,2021,148,15,133,0,0,0,0,0,148,28,120,0,6,71,67,4,17,63,6,61,7
104,Chelsea / Clinton,Manhattan,2006,1215,135,1080,536,48,67,544,20,0,123,1092,19,273,677,235,11,357,502,26,319,12
104,Chelsea / Clinton,Manhattan,2007,1046,142,904,355,47,78,549,17,0,124,922,17,286,573,169,1,298,413,14,312,15
104,Chelsea / Clinton,Manhattan,2008,814,129,685,320,46,66,365,17,0,81,733,21,238,405,147,3,262,319,10,220,10
104,Chelsea / Clinton,Manhattan,2009,1130,134,996,345,40,72,651,21,1,131,999,37,288,619,180,6,455,359,23,279,9
104,Chelsea / Clinton,Manhattan,2010,1190,112,1078,301,32,72,777,8,0,151,1039,33,339,605,206,7,496,356,34,292,11
104,Chelsea / Clinton,Manhattan,2011,1288,72,1216,350,13,55,866,3,1,147,1141,37,405,628,217,1,598,368,23,285,12
104,Chelsea / Clinton,Manhattan,2012,1077,64,1013,428,24,36,585,4,0,142,935,22,313,504,230,8,320,426,24,287,14
104,Chelsea / Clinton,Manhattan,2013,1021,72,949,640,20,44,309,8,0,123,898,17,238,463,296,7,308,433,21,246,14
104,Chelsea / Clinton,Manhattan,2014,1056,82,974,677,17,60,297,4,1,131,925,16,277,465,288,10,325,434,37,244,13
104,Chelsea / Clinton,Manhattan,2015,1036,84,952,710,17,66,242,1,0,122,914,14,237,488,286,11,291,441,43,250,30
104,Chelsea / Clinton,Manhattan,2016,1269,95,1174,735,19,73,439,3,0,132,1137,11,270,612,362,14,290,577,27,352,47
104,Chelsea / Clinton,Manhattan,2017,1067,54,1013,639,14,37,374,2,1,104,963,12,198,509,333,15,228,496,28,307,21
104,Chelsea / Clinton,Manhattan,2018,761,64,697,521,17,44,176,3,0,88,673,3,96,391,264,7,139,418,14,186,24
