GEOID,NAME.x,arrest_year,arrests_total,arrests_felony,arrests_misdemeanor,cs_possession_low,cs_possession_mid,cs_possession_high,mj_possession_low,mj_possession_high,other_drug_offense,arrests_female,arrests_male,arrests_under18,arrests_18_24,arrests_25_44,arrests_45_64,arrests_65plus,arrests_white,arrests_black,arrests_asian,arrests_hispanic,NAME.y,popE,popM,median_hhincE,median_hhincM,povertyE,povertyM,pop_povertyE,pop_povertyM,median_rentE,median_rentM,median_homeE,median_homeM,whiteE,whiteM,blackE,blackM,hispanicE,hispanicM,asianE,asianM,foreign_bornE,foreign_bornM,survey,giniE,giniM,no_hsE,no_hsM,bachelorsE,bachelorsM,pop_25plusE,pop_25plusM,snapE,snapM,snap_totalE,snap_totalM,source,unempE,unempM,laborforceE,laborforceM,no_health_insE,no_health_insM
3604103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,2006,1058,115,943,438,46,56,505,13,0,128,930,46,269,562,175,5,368,251,42,392,"PUMA 04103, New York",246542,12493,50638,2985,25703,4465,242167,12425,1160,34,535700,19584,84800,7520,7230,2252,39653,6374,111772,8067,143513,8851,acs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acs1,NA,NA,NA,NA,NA,NA
3604103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,2007,1240,136,1104,465,41,81,639,14,0,158,1082,65,391,599,180,5,345,301,59,522,"PUMA5 04103, New York",234382,11617,52333,2654,26398,4911,232174,11595,1181,38,537900,20011,85076,7019,6094,1720,40363,5628,99130,8711,127904,7444,acs1,0.448,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acs1,NA,NA,NA,NA,NA,NA
3604103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,2008,1276,156,1120,399,36,102,721,18,0,164,1112,55,380,670,167,4,445,269,57,493,"PUMA5 04103, New York",254571,11705,56208,3372,31674,4743,251263,11594,1219,47,554200,20639,91126,7078,3591,1174,43620,7000,110117,8474,132946,8543,acs1,0.454,0.019,5106,1504,41289,4270,186573,7856,7184,1234,87596,2904,acs1,NA,NA,NA,NA,NA,NA
3604103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,2009,1402,117,1285,426,45,50,859,21,1,155,1247,79,422,698,199,4,386,310,47,642,"PUMA 04103, New York",250458,3729,55095,1314,27672,2028,247685,3669,1217,18,530000,10348,90990,2277,6382,892,43078,2457,105439,2985,132068,3326,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acs5,NA,NA,NA,NA,NA,NA
3604103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,2010,1597,101,1496,444,50,32,1052,18,1,205,1392,101,532,740,215,9,510,361,87,624,"PUMA 04103, New York",243949,3716,54469,1345,29746,1817,241253,3649,1258,21,539600,8672,78367,2548,5758,660,41487,2268,113255,3048,133774,2414,acs5,0.447,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acs5,NA,NA,NA,NA,NA,NA
3604103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,2011,1592,61,1531,485,20,26,1046,15,0,203,1389,83,504,765,228,12,558,394,62,559,"PUMA5 04103, New York",244098,3456,54625,1424,31026,2170,241192,3363,1315,18,540600,8938,76745,2103,5213,549,40347,2285,115886,3326,132960,2767,acs5,0.4559,0.0082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acs5,12327,1022,128463,2402,NA,NA
3604103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,2012,1385,77,1308,541,33,30,767,14,0,143,1242,85,451,632,213,4,462,320,51,536,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",249296,3071,54164,927,32886,2181,246368,2930,1344,19,546700,9398,74583,2174,5041,662,41719,2494,121105,2980,136376,2738,acs5,0.4572,0.0067,6054,547,38259,1547,183492,2099,9708,648,88320,789,acs5,12631,898,130590,2220,NA,NA
3604103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,2013,1035,64,971,555,41,13,416,10,0,148,887,44,347,485,158,1,313,228,54,423,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",249001,3498,53489,1131,35947,2302,246038,3518,1360,18,540800,7657,71757,2120,4757,635,43376,2967,122123,2865,138351,2811,acs5,0.4591,0.0076,6635,637,36869,1335,184677,2474,10616,719,88283,903,acs5,12424,856,127343,2336,17361,1161
3604103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,2014,904,51,853,397,32,14,456,4,1,105,799,41,298,431,123,11,303,184,49,351,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",250047,3240,53946,1184,38385,2440,247105,3140,1381,19,542100,9537,70398,2417,4889,752,42332,2930,125720,3157,140432,2560,acs5,0.4609,0.007,7222,690,34888,1282,185546,2174,10529,634,87327,924,acs5,10767,782,125782,2271,16953,1249
3604103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,2015,996,31,965,479,18,8,486,5,0,145,851,36,347,464,147,2,308,239,40,398,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",250097,3699,52359,1101,38928,2198,247233,3684,1377,18,550100,8910,67617,2119,5025,802,42675,2455,128278,3447,142703,2905,acs5,0.4664,0.0069,7575,679,33980,1448,186768,2608,10650,660,87151,913,acs5,9000,708,123180,2613,16585,1168
3604103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,2016,1148,32,1116,460,15,10,656,7,0,158,990,35,383,622,104,4,389,271,73,400,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",250162,3404,52722,1485,40461,2314,247329,3293,1412,18,566900,9126,63938,2077,5359,831,43952,2500,130422,2952,142970,2972,acs5,0.4678,0.0081,7974,658,32571,1220,187056,2601,10629,698,86711,833,acs5,7429,653,122150,2274,15372,1036
